id_soal,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,kunci
1,LOTS,Apa yang dimaksud dengan kecerdasan buatan (Artificial Intelligence)?,Cabang ilmu komputer yang membuat sistem dapat melakukan tugas cerdas seperti manusia,Ilmu untuk membuat komputer hanya menghitung angka,Ilmu untuk mempercepat jaringan internet,Teknik untuk memperbesar kapasitas harddisk,Cabang ilmu komputer yang membuat sistem dapat melakukan tugas cerdas seperti manusia
2,LOTS,Logika fuzzy digunakan untuk menangani…,Data yang selalu benar,Nilai yang hanya 0 atau 1,Ketidakpastian dan nilai di antara benar dan salah,Data yang tidak bisa diukur,Ketidakpastian dan nilai di antara benar dan salah
3,LOTS,"Dalam sistem fuzzy, membership function digunakan untuk…",Menghapus data yang tidak penting,Menentukan derajat keanggotaan suatu nilai terhadap himpunan fuzzy,Mengurutkan data dari kecil ke besar,Menghitung jumlah data,Menentukan derajat keanggotaan suatu nilai terhadap himpunan fuzzy
4,LOTS,Contoh aplikasi sistem fuzzy dalam kehidupan sehari-hari adalah…,Penentuan rute terpendek jaringan komputer,Pengaturan kecepatan kipas angin otomatis,Penghitungan pajak progresif,Enkripsi data jaringan,Pengaturan kecepatan kipas angin otomatis
5,LOTS,Planning dalam AI terutama berhubungan dengan…,Menentukan urutan aksi untuk mencapai tujuan,Menghitung kompleksitas algoritma,Mempercepat eksekusi program,Menyimpan data dalam basis data,Menentukan urutan aksi untuk mencapai tujuan
6,LOTS,Representasi planning dalam AI sering menggunakan…,Diagram ER,State dan action,Flowchart jaringan,Tabel kebenaran,State dan action
7,LOTS,Learning dalam AI berarti…,Komputer hanya menjalankan instruksi tetap,Sistem mengubah perilakunya berdasarkan pengalaman atau data,Memperbesar ukuran memori,Menggandakan file data,Sistem mengubah perilakunya berdasarkan pengalaman atau data
8,LOTS,Supervised learning membutuhkan…,Data tanpa label,Data acak tanpa struktur,Data dengan label target,Data hanya berupa gambar,Data dengan label target
9,LOTS,Contoh algoritma supervised learning adalah…,K-means clustering,Decision tree,Apriori,PageRank,Decision tree
10,LOTS,Neural network terinspirasi dari…,Struktur jaringan listrik,Struktur jaringan saraf biologis,Struktur jaringan komputer,Struktur molekul kimia,Struktur jaringan saraf biologis
11,LOTS,Fungsi aktivasi dalam jaringan syaraf tiruan berfungsi untuk…,Mengatur ukuran dataset,Memetakan input terakumulasi menjadi output neuron,Menghapus neuron yang tidak digunakan,Menggandakan bobot,Memetakan input terakumulasi menjadi output neuron
12,LOTS,Backpropagation digunakan untuk…,Menginisialisasi bobot secara acak,Menghitung dan mempropagasikan error untuk memperbarui bobot,Menambah jumlah neuron pada setiap epoch,Mengurangi jumlah data latih,Menghitung dan mempropagasikan error untuk memperbarui bobot
13,LOTS,Algoritma genetika terinspirasi dari…,Teori graf,Teori basis data,Evolusi dan genetika biologis,Teori himpunan,Evolusi dan genetika biologis
14,LOTS,Operator genetika yang menggabungkan dua kromosom disebut…,Seleksi,Mutasi,Crossover,Evaluasi,Crossover
15,LOTS,Tujuan utama fungsi fitness dalam algoritma genetika adalah…,Mengacak populasi,Menghapus solusi buruk,Mengukur kualitas suatu solusi,Memperbanyak jumlah kromosom,Mengukur kualitas suatu solusi
16,LOTS,Natural Language Processing (NLP) berfokus pada…,Pengolahan data numerik,Pengolahan data teks dan bahasa alami,Pengolahan citra medis,Pengolahan sinyal listrik,Pengolahan data teks dan bahasa alami
17,LOTS,Tokenization dalam NLP adalah proses…,Menghapus semua teks,Memecah teks menjadi unit-unit kecil seperti kata atau token,Menyimpan teks ke dalam database,Mengacak urutan karakter,Memecah teks menjadi unit-unit kecil seperti kata atau token
18,LOTS,Stopword dalam NLP merujuk pada…,Kata-kata yang sangat penting,"Kata-kata yang biasanya diabaikan seperti 'dan', 'yang', 'di'",Kata yang mengandung angka,Kata yang selalu berbahasa Inggris,"Kata-kata yang biasanya diabaikan seperti 'dan', 'yang', 'di'"
19,LOTS,Perception dalam AI berkaitan dengan…,Kemampuan sistem menyimpan data dalam database,Kemampuan sistem merasakan lingkungan melalui sensor,Kemampuan sistem mengirim email otomatis,Kemampuan sistem mengompres file,Kemampuan sistem merasakan lingkungan melalui sensor
20,LOTS,Contoh sensor untuk perception dalam robotika adalah…,Keybord dan mouse,Laser range finder dan kamera,Printer dan scanner,Speaker dan microphone pasif saja,Laser range finder dan kamera
21,LOTS,Robotika sebagai cabang AI mempelajari…,Hanya desain mekanik robot,"Integrasi mekanik, elektronik, sensor, kontrol, dan kecerdasan",Hanya pemrograman desktop,Hanya jaringan komputer,"Integrasi mekanik, elektronik, sensor, kontrol, dan kecerdasan"
22,LOTS,Robot industri umumnya digunakan untuk…,Menulis surat elektronik,Perakitan dan pemindahan material di pabrik,Pengelolaan basis data,Pengaturan jaringan komputer,Perakitan dan pemindahan material di pabrik
23,LOTS,Generative AI adalah sistem yang…,Hanya mengklasifikasikan data,Menghasilkan data atau konten baru dari pola yang dipelajari,Hanya menyimpan data,Hanya melakukan enkripsi data,Menghasilkan data atau konten baru dari pola yang dipelajari
24,LOTS,Contoh aplikasi generative AI adalah…,Kompresi file ZIP,Pembuatan gambar dari prompt teks,Sorting angka acak,Penyusunan tabel kebenaran,Pembuatan gambar dari prompt teks
25,LOTS,Model bahasa besar (Large Language Model) seperti GPT digunakan untuk…,Prediksi cuaca jangka panjang,Generasi dan pemahaman teks bahasa alami,Pengaturan hardware komputer,Pengukuran tegangan listrik,Generasi dan pemahaman teks bahasa alami
26,HOTS,Mengapa logika fuzzy lebih cocok digunakan pada sistem kendali AC rumah tangga dibanding logika biner?,Karena logika fuzzy dapat menangani suhu dalam rentang derajat dan tingkat 'nyaman' yang tidak tegas,Karena logika fuzzy selalu lebih cepat dari logika biner,Karena logika biner tidak bisa digunakan di perangkat rumah tangga,Karena logika fuzzy tidak membutuhkan sensor,Karena logika fuzzy dapat menangani suhu dalam rentang derajat dan tingkat 'nyaman' yang tidak tegas
27,HOTS,"Sebuah sistem fuzzy mengatur kecepatan kipas berdasarkan suhu: rendah, sedang, tinggi. Apa dampak jika membership function dirancang terlalu sempit?",Perubahan kecepatan kipas menjadi sangat halus,Sistem menjadi terlalu sensitif dan sering berubah kecepatan secara tiba-tiba,Sistem tidak akan pernah mengubah kecepatan kipas,Suhu ruangan tidak akan terbaca,Sistem menjadi terlalu sensitif dan sering berubah kecepatan secara tiba-tiba
28,HOTS,"Dalam planning AI, mengapa penting mendefinisikan state dan action secara jelas?",Agar algoritma dapat menghitung kapasitas RAM,Agar ruang masalah dapat direpresentasikan dan dicari solusinya secara sistematis,Agar program dapat berjalan di semua sistem operasi,Agar waktu komputasi selalu konstan,Agar ruang masalah dapat direpresentasikan dan dicari solusinya secara sistematis
29,HOTS,"Robot layanan harus merencanakan rute dari dapur ke kamar pasien. Jika lingkungan sering berubah, metode planning apa yang lebih tepat?",Planning statis tanpa update,Planning dinamis yang dapat memperbarui rencana berdasarkan persepsi terbaru,Planning berbasis jadwal tetap,Planning manual oleh operator,Planning dinamis yang dapat memperbarui rencana berdasarkan persepsi terbaru
30,HOTS,Mengapa overfitting pada model supervised learning dapat berbahaya saat digunakan di dunia nyata?,Model menjadi sangat cepat saat prediksi,Model hanya menghafal data latih sehingga performanya buruk pada data baru,Model tidak bisa disimpan ke file,Model selalu menghasilkan nilai nol,Model hanya menghafal data latih sehingga performanya buruk pada data baru
31,HOTS,"Dalam konteks pembelajaran mesin, regularisasi membantu…",Memperbesar error latih,Mengurangi kompleksitas model agar tidak terlalu sensitif terhadap noise,Menambah jumlah layer secara otomatis,Menghapus data yang sulit,Mengurangi kompleksitas model agar tidak terlalu sensitif terhadap noise
32,HOTS,Mengapa deep neural network biasanya membutuhkan dataset yang sangat besar?,Karena bobotnya tidak bisa disimpan,Karena jumlah parameter yang banyak memerlukan banyak contoh untuk belajar pola dengan baik,Karena semua layer harus berisi semua data,Karena GPU hanya bisa bekerja dengan data besar,Karena jumlah parameter yang banyak memerlukan banyak contoh untuk belajar pola dengan baik
33,HOTS,"Pada jaringan syaraf, apa yang terjadi jika learning rate terlalu besar?",Konvergensi menjadi lebih stabil dan halus,Model mungkin melompati minima dan tidak konvergen,Model berhenti belajar sepenuhnya,Bobot tidak pernah berubah,Model mungkin melompati minima dan tidak konvergen
34,HOTS,"Dalam algoritma genetika, mengapa keseimbangan antara crossover dan mutasi penting?",Agar populasi tidak pernah berubah,Agar ada eksplorasi solusi baru sekaligus eksploitasi solusi yang baik,Agar solusi selalu sama di setiap generasi,Agar fitness tidak perlu dihitung,Agar ada eksplorasi solusi baru sekaligus eksploitasi solusi yang baik
35,HOTS,"Jika tingkat mutasi terlalu tinggi dalam algoritma genetika, dampak yang mungkin terjadi adalah…",Populasi cepat konvergen ke solusi optimal,Solusi menjadi terlalu acak dan sulit mencapai konvergensi,Tidak ada perubahan pada solusi,Fitness selalu maksimum,Solusi menjadi terlalu acak dan sulit mencapai konvergensi
36,HOTS,"Dalam NLP, mengapa kalimat ambigu seperti 'Saya melihat orang dengan teropong' sulit diproses mesin?",Karena kalimat terlalu pendek,Karena mesin harus mempertimbangkan beberapa kemungkinan struktur makna,Karena mesin tidak dapat membaca huruf kapital,Karena kalimat tidak mengandung angka,Karena mesin harus mempertimbangkan beberapa kemungkinan struktur makna
37,HOTS,"Pada sistem klasifikasi teks, menghapus semua stopword dapat…",Selalu meningkatkan akurasi,Mengurangi dimensi fitur namun kadang menghilangkan kata penting dalam konteks tertentu,Membuat model tidak bisa dilatih,Meningkatkan kebutuhan memori,Mengurangi dimensi fitur namun kadang menghilangkan kata penting dalam konteks tertentu
38,HOTS,"Dalam perception untuk robot otonom, mengapa penggabungan data dari berbagai sensor (sensor fusion) penting?",Agar robot lebih lambat bergerak,Agar robot dapat memadukan kelebihan masing-masing sensor untuk memperbaiki persepsi lingkungan,Agar robot tidak perlu memproses data,Agar robot hanya mengandalkan satu sensor utama,Agar robot dapat memadukan kelebihan masing-masing sensor untuk memperbaiki persepsi lingkungan
39,HOTS,Robot pembersih ruangan sering kali menggunakan sensor jarak dan peta lingkungan. Apa risiko jika perception robot tersebut buruk?,Robot akan menghemat baterai,Robot sering menabrak atau tidak mampu membersihkan area tertentu,Robot menjadi lebih cepat selesai,Robot tidak perlu diprogram,Robot sering menabrak atau tidak mampu membersihkan area tertentu
40,HOTS,"Mengapa dalam robotika, perencanaan lintasan (path planning) harus mempertimbangkan keterbatasan fisik robot?",Karena robot tidak memiliki sensor,Karena robot tidak boleh melalui lintasan yang tidak dapat dijangkau secara mekanik,Karena lintasan selalu lurus,Karena robot tidak memiliki aktuator,Karena robot tidak boleh melalui lintasan yang tidak dapat dijangkau secara mekanik
41,HOTS,Generative AI dapat menghasilkan teks mirip manusia. Risiko etis yang utama adalah…,Penurunan ukuran file teks,Potensi penyebaran informasi palsu dan plagiarisme,Tidak bisa terhubung ke internet,Ketidakmampuan menghasilkan bahasa asing,Potensi penyebaran informasi palsu dan plagiarisme
