id_soal,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,kunci
1,LOTS,Pernyataan yang tepat mengenai hubungan antara NFA dan DFA adalah...,NFA dapat mengenali bahasa yang tidak dapat dikenali DFA.,DFA dapat mengenali bahasa yang tidak dapat dikenali NFA.,NFA dan DFA memiliki daya kenal yang sama terhadap bahasa reguler.,NFA hanya ekuivalen dengan DFA jika tidak memiliki final state.,NFA dan DFA memiliki daya kenal yang sama terhadap bahasa reguler.
2,LOTS,Metode yang digunakan untuk mengonversi NFA menjadi DFA ekuivalen disebut...,Subset Construction,Leftmost Derivation,Pumping Lemma,Stack Reduction,Subset Construction
3,LOTS,Dalam proses konversi NFA ke DFA sebuah state pada DFA hasil konversi merepresentasikan...,Satu simbol input pada NFA,Himpunan bagian dari state-state NFA,Satu aturan produksi grammar,Jumlah final state pada NFA,Himpunan bagian dari state-state NFA
4,LOTS,"Jika NFA memiliki n state, jumlah maksimum state yang mungkin terbentuk pada DFA hasil subset construction adalah...",n,n + 1,n kuadrat,2^n,2^n
5,LOTS,Suatu state DFA hasil konversi ditetapkan sebagai final state apabila...,State tersebut hanya berisi start state NFA.,State tersebut memuat minimal satu final state NFA.,State tersebut memiliki lebih dari dua anggota.,Semua transisinya menuju himpunan kosong.,State tersebut memuat minimal satu final state NFA.
6,LOTS,Pada subset construction tanpa transisi epsilon start state DFA ditentukan sebagai...,Himpunan yang hanya memuat start state NFA,Himpunan seluruh final state NFA,Himpunan seluruh state NFA,Himpunan kosong,Himpunan yang hanya memuat start state NFA
7,HOTS,"Diketahui δ(q0, a) = {q0, q1} dan δ(q1, a) = {q2}. Nilai δ'([q0 q1], a) pada DFA hasil konversi adalah...",[q0],[q1 q2],[q0 q1 q2],[q2],[q0 q1 q2]
8,HOTS,Diketahui NFA dengan start state q0 dan final state q2. State DFA yang termasuk final state adalah...,[q0] dan [q1],[q0 q1] saja,[q0 q2] dan [q0 q1 q2],[q0] dan himpunan kosong,[q0 q2] dan [q0 q1 q2]
9,HOTS,"Diketahui δ(q0, 0) = {q0}, δ(q0, 1) = {q0, q1}, δ(q1, 0) = {q2}, dan δ(q1, 1) = {q2}. Dari state DFA [q0 q1], hasil transisi untuk input 0 adalah...",[q0],[q2],[q0 q1],[q0 q2],[q0 q2]
10,HOTS,Setelah seluruh state terjangkau diproses dalam subset construction dan tidak ada state komposit baru yang muncul langkah berikutnya adalah...,Mengulangi konversi dari start state baru.,Menentukan final state DFA berdasarkan kandungan final state NFA.,Menghapus semua state komposit.,Mengubah alfabet input DFA.,Menentukan final state DFA berdasarkan kandungan final state NFA.
